Attributes,Description,Value Type,Decimal?,Total,Source,
CRM170206D,Number of aggravated assaults known to police 2006,ABS,0,827725,DOJ-FBI,
CRM170207D,Number of aggravated assaults known to police 2007,ABS,0,822679,DOJ-FBI,
CRM170208D,Number of aggravated assaults known to police 2008,ABS,0,819402,DOJ-FBI,
CRM210205D,Number of property crimes known to police 2005,ABS,0,9621575,DOJ-FBI,
CRM210206D,Number of property crimes known to police 2006,ABS,0,9451231,DOJ-FBI,
CRM210207D,Number of property crimes known to police 2007,ABS,0,9341896,DOJ-FBI,
CRM210208D,Number of property crimes known to police 2008,ABS,0,9448578,DOJ-FBI,
CRM240205D,Number of burglaries known to police 2005,ABS,0,2040280,DOJ-FBI,
CRM240206D,Number of burglaries known to police 2006,ABS,0,2072835,DOJ-FBI,
CRM240207D,Number of burglaries known to police 2007,ABS,0,2071232,DOJ-FBI,
CRM240208D,Number of burglaries known to police 2008,ABS,0,2158017,DOJ-FBI,
CRM250205D,Number of larceny-thefts known to police 2005,ABS,0,6384687,DOJ-FBI,
CRM250206D,Number of larceny-thefts known to police 2006,ABS,0,6221004,DOJ-FBI,
CRM250207D,Number of larceny-thefts known to police 2007,ABS,0,6207552,DOJ-FBI,
CRM250208D,Number of larceny-thefts known to police 2008,ABS,0,6350264,DOJ-FBI,
CRM260205D,Number of motor vehicle thefts known to police  2005,ABS,0,1196608,DOJ-FBI,
CRM260206D,Number of motor vehicle thefts known to police  2006,ABS,0,1157392,DOJ-FBI,
CRM260207D,Number of motor vehicle thefts known to police  2007,ABS,0,1063112,DOJ-FBI,
CRM260208D,Number of motor vehicle thefts known to police  2008,ABS,0,940297,DOJ-FBI,
EAN010205D,"Earnings in all industries (NAICS, no code) 2005",TH$,0,7969910000,DOC-BEA,
EAN010206D,"Earnings in all industries (NAICS, no code) 2006",TH$,0,8432750000,DOC-BEA,
EAN010207D,"Earnings in all industries (NAICS, no code) 2007",TH$,0,8848240000,DOC-BEA,
EAN012205D,"Earnings in all industries (NAICS, no code), average earnings per job 2005",TH$,0,45744,DOC-BEA,
EAN012206D,"Earnings in all industries (NAICS, no code), average earnings per job 2006",TH$,0,47424,DOC-BEA,
EAN012207D,"Earnings in all industries (NAICS, no code), average earnings per job 2007",TH$,0,48900,DOC-BEA,
EAN100205D,"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2005",TH$,0,26700000,DOC-BEA,
EAN100206D,"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2006",TH$,0,27395000,DOC-BEA,
EAN100207D,"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007",TH$,0,28494000,DOC-BEA,
EAN150205D,Earnings in mining (NAICS 21) 2005,TH$,0,88558000,DOC-BEA,
EAN150206D,Earnings in mining (NAICS 21) 2006,TH$,0,108026000,DOC-BEA,
EAN150207D,Earnings in mining (NAICS 21) 2007,TH$,0,120486000,DOC-BEA,
EAN200205D,Earnings in utilities (NAICS 22) 2005,TH$,0,78649000,DOC-BEA,
EAN200206D,Earnings in utilities (NAICS 22) 2006,TH$,0,85007000,DOC-BEA,
EAN200207D,Earnings in utilities (NAICS 22) 2007,TH$,0,90606000,DOC-BEA,
EAN250205D,Earnings in construction (NAICS 23) 2005,TH$,0,509235000,DOC-BEA,
EAN250206D,Earnings in construction (NAICS 23) 2006,TH$,0,546876000,DOC-BEA,
EAN250207D,Earnings in construction (NAICS 23) 2007,TH$,0,545277000,DOC-BEA,
EAN300205D,Earnings in manufacturing (NAICS 31-33) 2005,TH$,0,990822000,DOC-BEA,
EAN300206D,Earnings in manufacturing (NAICS 31-33) 2006,TH$,0,1048590000,DOC-BEA,
EAN300207D,Earnings in manufacturing (NAICS 31-33) 2007,TH$,0,1066119000,DOC-BEA,
EAN450205D,Earnings in retail trade (NAICS 44-45) 2005,TH$,0,517300000,DOC-BEA,
EAN450206D,Earnings in retail trade (NAICS 44-45) 2006,TH$,0,533954000,DOC-BEA,
EAN450207D,Earnings in retail trade (NAICS 44-45) 2007,TH$,0,549242000,DOC-BEA,
EDU015205D,Public school enrollment Fall 2005-2006,ABS,0,48978555,DOE-NCES,
EDU015206D,Public school enrollment Fall 2006-2007,ABS,0,49140702,DOE-NCES,
EDU015207D,Public school enrollment Fall 2007-2008,ABS,0,49183404,DOE-NCES,
EDU015208D,Public school enrollment Fall 2008-2009,ABS,0,49176431,DOE-NCES,
EDU610209D,Educational attainment - persons 25 years and over completing less than 9th grade 2005-2009,ABS,0,12550193,CENSUS-ACS,
EDU620209D,"Educational attainment - persons 25 years and over completing 9th to 12th grade, no diploma 2005-2009",ABS,0,17894984,CENSUS-ACS,
EDU635209D,Educational attainment - persons 25 years and over - percent high school graduate or higher 2005-2009,PCT,1,84.6,CENSUS-ACS,
EDU640209D,Educational attainment - persons 25 years and over - high school graduate (includes equivalency) 2005-2009,ABS,0,57861698,CENSUS-ACS,
EDU660209D,"Educational attainment - persons 25 years and over - some college, no degree 2005-2009",ABS,0,40105283,CENSUS-ACS,
EDU670209D,Educational attainment - persons 25 years and over - associate degree 2005-2009,ABS,0,14663437,CENSUS-ACS,
EDU690209D,Educational attainment - persons 25 years and over - bachelor's degree 2005-2009,ABS,0,34384717,CENSUS-ACS,
EDU695209D,Educational attainment - persons 25 years and over - graduate or professional degree 2005-2009,ABS,0,19980460,CENSUS-ACS,
EMN010205D,"Employment in all industries (NAICS, no code) 2005",ABS,0,174228400,DOC-BEA,
EMN010206D,"Employment in all industries (NAICS, no code) 2006",ABS,0,177817600,DOC-BEA,
EMN010207D,"Employment in all industries (NAICS, no code) 2007",ABS,0,180943800,DOC-BEA,
EMN012205D,"Employment in all industries, net change 2000 - 2005",ABS,0,7469600,DOC-BEA,
EMN012206D,"Employment in all industries, net change 2000 - 2006",ABS,0,11058800,DOC-BEA,
EMN012207D,"Employment in all industries, net change 2000 - 2007",ABS,0,14185000,DOC-BEA,
EMN225205D,Employment in utilities (NAICS 22) 2005,ABS,0,571900,DOC-BEA,
EMN225206D,Employment in utilities (NAICS 22) 2006,ABS,0,572700,DOC-BEA,
EMN225207D,Employment in utilities (NAICS 22) 2007,ABS,0,576500,DOC-BEA,
EMN230205D,Employment in construction (NAICS 23) 2005,ABS,0,10993800,DOC-BEA,
EMN230206D,Employment in construction (NAICS 23) 2006,ABS,0,11438900,DOC-BEA,
EMN230207D,Employment in construction (NAICS 23) 2007,ABS,0,11641100,DOC-BEA,
EMN240205D,Employment in manufacturing (NAICS 31-33) 2005,ABS,0,14819200,DOC-BEA,
EMN240206D,Employment in manufacturing (NAICS 31-33) 2006,ABS,0,14774200,DOC-BEA,
EMN240207D,Employment in manufacturing (NAICS 31-33) 2007,ABS,0,14512000,DOC-BEA,
EMN290205D,Employment in finance and insurance (NAICS 52) 2005,ABS,0,8243300,DOC-BEA,
EMN290206D,Employment in finance and insurance (NAICS 52) 2006,ABS,0,8414800,DOC-BEA,
EMN290207D,Employment in finance and insurance (NAICS 52) 2007,ABS,0,8429700,DOC-BEA,
EMN310205D,Employment in professional and technical services (NAICS 54) 2005,ABS,0,11243100,DOC-BEA,
EMN310206D,Employment in professional and technical services (NAICS 54) 2006,ABS,0,11631800,DOC-BEA,
EMN310207D,Employment in professional and technical services (NAICS 54) 2007,ABS,0,11866300,DOC-BEA,
EMN340205D,Employment in educational services (NAICS 61) 2005,ABS,0,3555800,DOC-BEA,
EMN340206D,Employment in educational services (NAICS 61) 2006,ABS,0,3690500,DOC-BEA,
EMN340207D,Employment in educational services (NAICS 61) 2007,ABS,0,3833000,DOC-BEA,
EMN360205D,"Employment in arts, entertainment, and recreation (NAICS 71) 2005",ABS,0,3529300,DOC-BEA,
EMN360206D,"Employment in arts, entertainment, and recreation (NAICS 71) 2006",ABS,0,3634400,DOC-BEA,
EMN360207D,"Employment in arts, entertainment, and recreation (NAICS 71) 2007",ABS,0,3736900,DOC-BEA,
EMN370205D,Employment in accommodation and food services (NAICS 72) 2005,ABS,0,11714100,DOC-BEA,
EMN370206D,Employment in accommodation and food services (NAICS 72) 2006,ABS,0,12008200,DOC-BEA,
EMN370207D,Employment in accommodation and food services (NAICS 72) 2007,ABS,0,12253000,DOC-BEA,
FED110205D,Federal Government expenditure - total FY 2005,TH$,0,2265760871,CENSUS-GOVTS,
FED110206D,Federal Government expenditure - total FY 2006,TH$,0,2429494093,CENSUS-GOVTS,
FED110207D,Federal Government expenditure - total FY 2007,TH$,0,2536629405,CENSUS-GOVTS,
FED110208D,Federal Government expenditure - total FY 2008,TH$,0,2771782152,CENSUS-GOVTS,
FED110209D,Federal Government expenditure - total FY 2009,TH$,0,3175336050,CENSUS-GOVTS,
FED115205D,Federal Government expenditure - Department of Defense FY 2005,TH$,0,372546844,CENSUS-GOVTS,
FED115206D,Federal Government expenditure - Department of Defense FY 2006,TH$,0,398324184,CENSUS-GOVTS,
FED115207D,Federal Government expenditure - Department of Defense FY 2007,TH$,0,428649629,CENSUS-GOVTS,
FED115208D,Federal Government expenditure - Department of Defense FY 2008,TH$,0,487033467,CENSUS-GOVTS,
FED115209D,Federal Government expenditure - Department of Defense FY 2009,TH$,0,516724612,CENSUS-GOVTS,
FED120205D,"Federal Government expenditure - direct payments for individuals, retirement and disability FY 2005",TH$,0,696318191,CENSUS-GOVTS,
FED120206D,"Federal Government expenditure - direct payments for individuals, retirement and disability FY 2006",TH$,0,732463763,CENSUS-GOVTS,
FED120207D,"Federal Government expenditure - direct payments for individuals, retirement and disability FY 2007",TH$,0,775553154,CENSUS-GOVTS,
FED120208D,"Federal Government expenditure - direct payments for individuals, retirement and disability FY 2008",TH$,0,811047704,CENSUS-GOVTS,
FED120209D,"Federal Government expenditure - direct payments for individuals, retirement and disability FY 2009",TH$,0,872794065,CENSUS-GOVTS,
HEA010205D,"Hospital insurance and/or supplemental medical insurance (Medicare) - total persons enrolled July 1, 2005",ABS,0,40783798,HHS-CMS,
HEA010206D,"Hospital insurance and/or supplemental medical insurance (Medicare) - total persons enrolled July 1, 2006",ABS,0,41963618,HHS-CMS,
HEA010207D,"Hospital insurance and/or supplemental medical insurance (Medicare) - total persons enrolled July 1, 2007",ABS,0,43131635,HHS-CMS,
HEA020205D,"Hospital insurance and/or supplemental medical insurance (Medicare) - aged persons enrolled July 1, 2005",ABS,0,34359439,HHS-CMS,
HEA020206D,"Hospital insurance and/or supplemental medical insurance (Medicare) - aged persons enrolled July 1, 2006",ABS,0,35224296,HHS-CMS,
HEA020207D,"Hospital insurance and/or supplemental medical insurance (Medicare) - aged persons enrolled July 1, 2007",ABS,0,35953992,HHS-CMS,
HEA030205D,"Hospital insurance and/or supplemental medical insurance (Medicare) - disabled persons enrolled July 1, 2005",ABS,0,6424359,HHS-CMS,
HEA030206D,"Hospital insurance and/or supplemental medical insurance (Medicare) - disabled persons enrolled July 1, 2006",ABS,0,6739322,HHS-CMS,
HEA030207D,"Hospital insurance and/or supplemental medical insurance (Medicare) - disabled persons enrolled July 1, 2007",ABS,0,7177643,HHS-CMS,
HEA040205D,"Hospital insurance (Medicare) - total persons enrolled July 1, 2005",ABS,0,40463276,HHS-CMS,
HEA040206D,"Hospital insurance (Medicare) - total persons enrolled July 1, 2006",ABS,0,41613023,HHS-CMS,
HEA040207D,"Hospital insurance (Medicare) - total persons enrolled July 1, 2007",ABS,0,42782703,HHS-CMS,
HEA270206D,Total physicians 2006 ***subject to copyright***,ABS,0,908056,AMA,
HEA270207D,Total physicians 2007 ***subject to copyright***,ABS,0,927393,AMA,
HEA270208D,Total physicians 2008 ***subject to copyright***,ABS,0,940111,AMA,
HEA270209D,Total physicians 2009 ***subject to copyright***,ABS,0,958301,AMA,
HEA715205D,"All persons under 18 years without health insurance, percent 2005",PCT,1,10.8,CENSUS-SAHIE,
HEA715206D,"All persons under 18 years without health insurance, percent 2006",PCT,1,11.6,CENSUS-SAHIE,
HEA715207D,"All persons under 18 years without health insurance, percent 2007",PCT,1,10.9,CENSUS-SAHIE,
HEA735205D,"All persons 18 to 64 years without health insurance, percent 2005",PCT,1,19.7,CENSUS-SAHIE,
HEA735206D,"All persons 18 to 64 years without health insurance, percent 2006",PCT,1,20.2,CENSUS-SAHIE,
HEA735207D,"All persons 18 to 64 years without health insurance, percent 2007",PCT,1,19.6,CENSUS-SAHIE,
HEA755205D,"All persons 40 to 64 years without health insurance, percent 2005",PCT,1,14.6,CENSUS-SAHIE,
HEA755206D,"All persons 40 to 64 years without health insurance, percent 2006",PCT,1,15,CENSUS-SAHIE,
HEA755207D,"All persons 40 to 64 years without health insurance, percent 2007",PCT,1,14.7,CENSUS-SAHIE,
HEA775205D,"All persons under 65 years without health insurance, percent 2005",PCT,1,17.2,CENSUS-SAHIE,
HEA775206D,"All persons under 65 years without health insurance, percent 2006",PCT,1,17.8,CENSUS-SAHIE,
HEA775207D,"All persons under 65 years without health insurance, percent 2007",PCT,1,17.1,CENSUS-SAHIE,
IPE010205D,Median household income 2005,DOL,0,46242,CENSUS-SAIPE,
IPE010206D,Median household income 2006,DOL,0,48451,CENSUS-SAIPE,
IPE010207D,Median household income 2007,DOL,0,50740,CENSUS-SAIPE,
IPE010208D,Median household income 2008,DOL,0,52029,CENSUS-SAIPE,
IPE010209D,Median household income 2009,DOL,0,50221,CENSUS-SAIPE,
IPE120205D,People of all ages in poverty - percent 2005,PCT,1,13.3,CENSUS-SAIPE,
IPE120206D,People of all ages in poverty - percent 2006,PCT,1,13.3,CENSUS-SAIPE,
IPE120207D,People of all ages in poverty - percent 2007,PCT,1,13,CENSUS-SAIPE,
IPE120208D,People of all ages in poverty - percent 2008,PCT,1,13.2,CENSUS-SAIPE,
IPE120209D,People of all ages in poverty - percent 2009,PCT,1,14.3,CENSUS-SAIPE,
IPE220205D,People under age 18 in poverty - percent 2005,PCT,1,18.5,CENSUS-SAIPE,
IPE220206D,People under age 18 in poverty - percent 2006,PCT,1,18.3,CENSUS-SAIPE,
IPE220207D,People under age 18 in poverty - percent 2007,PCT,1,18,CENSUS-SAIPE,
IPE220208D,People under age 18 in poverty - percent 2008,PCT,1,18.2,CENSUS-SAIPE,
IPE220209D,People under age 18 in poverty - percent 2009,PCT,1,20,CENSUS-SAIPE,
IPE320205D,Related children age 5 to 17 in families in poverty - percent 2005,PCT,1,17,CENSUS-SAIPE,
IPE320206D,Related children age 5 to 17 in families in poverty - percent 2006,PCT,1,16.7,CENSUS-SAIPE,
IPE320207D,Related children age 5 to 17 in families in poverty - percent 2007,PCT,1,16.4,CENSUS-SAIPE,
IPE320208D,Related children age 5 to 17 in families in poverty - percent 2008,PCT,1,16.5,CENSUS-SAIPE,
IPE320209D,Related children age 5 to 17 in families in poverty - percent 2009,PCT,1,18.2,CENSUS-SAIPE,
SEX255205D,"Resident population: total females, percent (July 1 - estimate) 2005",PCT,1,50.8,CENSUSPOPEST,
SEX255206D,"Resident population: total females, percent (July 1 - estimate) 2006",PCT,1,50.7,CENSUSPOPEST,
SEX255207D,"Resident population: total females, percent (July 1 - estimate) 2007",PCT,1,50.7,CENSUSPOPEST,
SEX255208D,"Resident population: total females, percent (July 1 - estimate) 2008",PCT,1,50.7,CENSUSPOPEST,
SEX255209D,"Resident population: total females, percent (July 1 - estimate) 2009",PCT,1,50.7,CENSUSPOPEST,
VST020205D,"Births per 1,000 population 2005",RTE,1,14,CDC-NCHS,
VST020206D,"Births per 1,000 population 2006",RTE,1,14.3,CDC-NCHS,
VST020207D,"Births per 1,000 population 2007",RTE,1,14.3,CDC-NCHS,
VST410205D,Infant deaths under one year 2005,ABS,0,28440,CDC-NCHS,
VST410206D,Infant deaths under one year 2006,ABS,0,28527,CDC-NCHS,
VST410207D,Infant deaths under one year 2007,ABS,0,29138,CDC-NCHS,